Id,Overall Qual,Gr Liv Area,Garage Area,Total Bsmt SF,Year Remod/Add,bath_abv,bath_bsmt,Neighborhood,roomratio,rm_area_intr,Bsmt Qual,SalePrice
109,6,1479,475.0,725.0,2005,3,0.0,Sawyer,0.5,8874,TA,130500
544,7,2122,559.0,913.0,1997,3,1.0,SawyerW,0.375,16976,Gd,220000
153,5,1057,246.0,1057.0,2007,1,1.0,NAmes,0.2,5285,TA,109000
318,5,1444,400.0,384.0,2007,3,0.0,Timber,0.42857142857142855,10108,Gd,174000
255,6,1445,484.0,676.0,1993,2,0.0,SawyerW,0.3333333333333333,8670,Fa,138500
138,6,1888,578.0,1517.0,2002,3,0.0,NAmes,0.5,11328,TA,190000
2827,6,1072,525.0,547.0,2006,2,1.0,Edwards,0.4,5360,Gd,140000
145,5,1188,531.0,1188.0,1959,1,1.0,NAmes,0.16666666666666666,7128,TA,142000
1942,5,924,420.0,924.0,1952,1,0.0,OldTown,0.16666666666666666,5544,TA,112500
1956,5,2080,504.0,1040.0,1969,3,1.0,NAmes,0.3333333333333333,18720,Gd,135000
1044,6,987,264.0,483.0,1971,2,0.0,BrDale,0.5,3948,TA,85400
2752,7,1208,632.0,1208.0,2005,2,0.0,CollgCr,0.3333333333333333,7248,Gd,183600
807,5,2016,576.0,0.0,2007,1,0.0,SawyerW,0.14285714285714285,14112,NA,131000
1177,8,1607,480.0,960.0,2000,3,1.0,Somerst,0.42857142857142855,11249,Gd,200000
1480,7,1361,610.0,1351.0,2007,2,0.0,CollgCr,0.3333333333333333,8166,Gd,193000
324,5,1430,624.0,1430.0,2005,2,0.0,Mitchel,0.2857142857142857,10010,Ex,173500
1311,5,1344,513.0,624.0,1950,1,0.0,OldTown,0.14285714285714285,9408,TA,98000
770,5,1121,480.0,1121.0,1963,1,1.0,Sawyer,0.2,5605,TA,139000
2063,6,1285,528.0,660.0,1977,2,0.0,Sawyer,0.2857142857142857,8995,TA,143500
69,7,1547,614.0,756.0,2009,3,0.0,Somerst,0.42857142857142855,10829,Gd,215200
2062,5,894,450.0,894.0,1968,1,0.0,Sawyer,0.2,4470,Gd,129000
351,8,1659,499.0,1501.0,2000,2,1.0,StoneBr,0.4,8295,Gd,278000
2393,8,2253,575.0,1209.0,2006,3,0.0,NridgHt,0.375,18024,Ex,344133
12,6,1187,420.0,1168.0,2007,2,1.0,Gilbert,0.3333333333333333,7122,Gd,185000
2339,5,1056,572.0,1056.0,1955,1,1.0,Gilbert,0.2,5280,TA,145000
624,6,1453,530.0,1453.0,1961,2,1.0,NAmes,0.3333333333333333,8718,TA,187500
86,5,894,336.0,894.0,2009,1,1.0,Sawyer,0.2,4470,TA,138500
1534,5,1938,240.0,942.0,1995,2,0.0,Crawfor,0.2857142857142857,13566,TA,198000
2243,5,1991,0.0,957.0,2006,2,0.0,IDOTRR,0.2222222222222222,17919,TA,119600
1957,5,924,576.0,672.0,2006,1,0.0,NAmes,0.16666666666666666,5544,TA,122900
380,8,2524,542.0,2524.0,1981,3,1.0,NWAmes,0.3333333333333333,22716,Gd,278000
2860,8,1517,400.0,792.0,1950,1,0.0,Crawfor,0.14285714285714285,10619,Gd,230000
2517,8,1494,481.0,1494.0,1996,2,1.0,Veenker,0.3333333333333333,8964,Gd,270000
1933,6,948,410.0,948.0,1952,1,0.0,NAmes,0.2,4740,TA,125000
820,8,1718,826.0,1705.0,2008,2,1.0,CollgCr,0.2857142857142857,12026,Ex,297000
675,6,1142,384.0,160.0,1958,1,0.0,NAmes,0.2,5710,Gd,113500
2910,5,1475,336.0,757.0,1977,2,0.0,MeadowV,0.3333333333333333,8850,TA,127000
21,6,1844,546.0,1844.0,1977,2,0.0,NWAmes,0.2857142857142857,12908,Gd,190000
1873,7,1242,528.0,1242.0,1973,2,0.0,NWAmes,0.3333333333333333,7452,TA,175500
